year,avg_global_temp,avg_city_temp,,year,Average global temperature,Average city temperature ,Difference
1750,8.72,10.04,,1750,,,
1751,7.98,9.63,,1751,,,
1752,5.78,5.97,,1752,,,
1753,8.39,9.08,,1753,,,
1754,8.47,8.72,,1754,,,
1755,8.36,8.55,,1755,,,
1756,8.85,9.17,,1756,,,
1757,9.02,9.05,,1757,,,
1758,6.74,8.79,,1758,,,
1759,7.99,9.64,,1759,8.03,8.864,0.834
1760,7.19,9.14,,1760,7.877,8.774,0.897
1761,8.77,9.41,,1761,7.956,8.752,0.796
1762,8.61,8.58,,1762,8.239,9.013,0.774
1763,7.5,8.44,,1763,8.15,8.949,0.799
1764,8.4,9.07,,1764,8.143,8.984,0.841
1765,8.25,8.87,,1765,8.132,9.016,0.884
1766,8.41,8.85,,1766,8.088,8.984,0.896
1767,8.22,8.5,,1767,8.008,8.929,0.921
1768,6.78,8.61,,1768,8.012,8.911,0.899
1769,7.69,8.81,,1769,7.982,8.828,0.846
1770,7.69,8.84,,1770,8.032,8.798,0.766
1771,7.85,8.22,,1771,7.94,8.679,0.739
1772,8.19,9.3,,1772,7.898,8.751,0.853
1773,8.22,9.54,,1773,7.97,8.861,0.891
1774,8.77,8.9,,1774,8.007,8.844,0.837
1775,9.18,9.93,,1775,8.1,8.95,0.85
1776,8.3,8.89,,1776,8.089,8.954,0.865
1777,8.26,8.78,,1777,8.093,8.982,0.889
1778,8.54,9.56,,1778,8.269,9.077,0.808
1779,8.98,10.57,,1779,8.398,9.253,0.855
1780,9.43,9.25,,1780,8.572,9.294,0.722
1781,8.1,10.12,,1781,8.597,9.484,0.887
1782,7.9,8.36,,1782,8.568,9.39,0.822
1783,7.68,9.78,,1783,8.514,9.414,0.9
1784,7.86,7.8,,1784,8.423,9.304,0.881
1785,7.36,8,,1785,8.241,9.111,0.87
1786,8.26,7.96,,1786,8.237,9.018,0.781
1787,8.03,9.18,,1787,8.214,9.058,0.844
1788,8.45,8.84,,1788,8.205,8.986,0.781
1789,8.33,8.64,,1789,8.14,8.793,0.653
1790,7.98,9.16,,1790,7.995,8.784,0.789
1791,8.23,9.29,,1791,8.008,8.701,0.693
1792,8.09,9.1,,1792,8.027,8.775,0.748
1793,8.23,9.17,,1793,8.082,8.714,0.632
1794,8.53,9.7,,1794,8.149,8.904,0.755
1795,8.35,8.84,,1795,8.248,8.988,0.74
1796,8.27,9.18,,1796,8.249,9.11,0.861
1797,8.51,9.52,,1797,8.297,9.144,0.847
1798,8.67,9.41,,1798,8.319,9.201,0.882
1799,8.51,7.26,,1799,8.337,9.063,0.726
1800,8.48,8.88,,1800,8.387,9.035,0.648
1801,8.59,9.36,,1801,8.423,9.042,0.619
1802,8.58,8.86,,1802,8.472,9.018,0.546
1803,8.5,8.09,,1803,8.499,8.91,0.411
1804,8.84,8.59,,1804,8.53,8.799,0.269
1805,8.56,7.47,,1805,8.551,8.662,0.111
1806,8.43,9.56,,1806,8.567,8.7,0.133
1807,8.28,9.01,,1807,8.544,8.649,0.105
1808,7.63,8.41,,1808,8.44,8.549,0.109
1809,7.08,8.64,,1809,8.297,8.687,0.39
1810,6.92,8.47,,1810,8.141,8.646,0.505
1811,6.86,10.07,,1811,7.968,8.717,0.749
1812,7.05,8,,1812,7.815,8.631,0.816
1813,7.74,8.83,,1813,7.739,8.705,0.966
1814,7.59,7.76,,1814,7.614,8.622,1.008
1815,7.24,8.75,,1815,7.482,8.75,1.268
1816,6.94,7.78,,1816,7.333,8.572,1.239
1817,6.98,8.94,,1817,7.203,8.565,1.362
1818,7.83,9.47,,1818,7.223,8.671,1.448
1819,7.37,9.55,,1819,7.252,8.762,1.51
1820,7.62,8.11,,1820,7.322,8.726,1.404
1821,8.09,9.29,,1821,7.445,8.648,1.203
1822,8.19,10.19,,1822,7.559,8.867,1.308
1823,7.72,8.44,,1823,7.557,8.828,1.271
1824,8.55,9.51,,1824,7.653,9.003,1.35
1825,8.39,9.75,,1825,7.768,9.103,1.335
1826,8.36,9.78,,1826,7.91,9.303,1.393
1827,8.81,8.98,,1827,8.093,9.307,1.214
1828,8.17,9.63,,1828,8.127,9.323,1.196
1829,7.94,7.2,,1829,8.184,9.088,0.904
1830,8.52,8.29,,1830,8.274,9.106,0.832
1831,7.64,9.82,,1831,8.229,9.159,0.93
1832,7.45,8.65,,1832,8.155,9.005,0.85
1833,8.01,9.11,,1833,8.184,9.072,0.888
1834,8.15,10.49,,1834,8.144,9.17,1.026
1835,7.39,9.13,,1835,8.044,9.108,1.064
1836,7.7,9.04,,1836,7.978,9.034,1.056
1837,7.38,8.52,,1837,7.835,8.988,1.153
1838,7.51,7.62,,1838,7.769,8.787,1.018
1839,7.63,8.92,,1839,7.738,8.959,1.221
1840,7.8,8.35,,1840,7.666,8.965,1.299
1841,7.69,9.34,,1841,7.671,8.917,1.246
1842,8.02,9.11,,1842,7.728,8.963,1.235
1843,8.17,9.2,,1843,7.744,8.972,1.228
1844,7.65,8.24,,1844,7.694,8.747,1.053
1845,7.85,7.99,,1845,7.74,8.633,0.893
1846,8.55,10.26,,1846,7.825,8.755,0.93
1847,8.09,8.62,,1847,7.896,8.765,0.869
1848,7.98,9.11,,1848,7.943,8.914,0.971
1849,7.98,8.8,,1849,7.978,8.902,0.924
